
------------------------------------------------------------------------------
Elevation report for the watershed      24 February 2025 20.50

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 3812
  Maximum elevation: 5595
     Mean elevation: 4035.18
 Standard deviation: 226.04

              Elevation          % area up to elevation    % area of watershed
                3812                     0.01                     0.01
                3813                     0.01                     0.00
                3814                     0.01                     0.00
                3815                     0.01                     0.00
                3816                     0.01                     0.00
                3817                     0.01                     0.00
                3818                     0.01                     0.00
                3819                     0.01                     0.00
                3820                     0.02                     0.01
                3821                     0.05                     0.02
                3822                     0.12                     0.08
                3823                     0.30                     0.18
                3824                     0.62                     0.32
                3825                     1.05                     0.43
                3826                     1.58                     0.52
                3827                     2.10                     0.53
                3828                     2.61                     0.51
                3829                     3.13                     0.52
                3830                     3.59                     0.46
                3831                     4.02                     0.42
                3832                     4.35                     0.34
                3833                     4.62                     0.26
                3834                     4.80                     0.19
                3835                     4.98                     0.18
                3836                     5.13                     0.15
                3837                     5.27                     0.14
                3838                     5.42                     0.15
                3839                     5.58                     0.15
                3840                     5.77                     0.19
                3841                     5.98                     0.21
                3842                     6.20                     0.21
                3843                     6.41                     0.21
                3844                     6.63                     0.22
                3845                     6.87                     0.24
                3846                     7.13                     0.26
                3847                     7.42                     0.28
                3848                     7.71                     0.29
                3849                     7.98                     0.27
                3850                     8.26                     0.28
                3851                     8.57                     0.30
                3852                     8.93                     0.36
                3853                     9.34                     0.41
                3854                     9.77                     0.42
                3855                    10.21                     0.44
                3856                    10.64                     0.43
                3857                    11.09                     0.45
                3858                    11.54                     0.45
                3859                    12.00                     0.46
                3860                    12.48                     0.49
                3861                    12.98                     0.50
                3862                    13.51                     0.53
                3863                    14.07                     0.55
                3864                    14.69                     0.62
                3865                    15.39                     0.70
                3866                    16.13                     0.74
                3867                    16.90                     0.78
                3868                    17.75                     0.85
                3869                    18.66                     0.91
                3870                    19.58                     0.92
                3871                    20.43                     0.86
                3872                    21.21                     0.77
                3873                    21.93                     0.72
                3874                    22.60                     0.66
                3875                    23.24                     0.64
                3876                    23.82                     0.58
                3877                    24.40                     0.58
                3878                    24.90                     0.50
                3879                    25.38                     0.47
                3880                    25.85                     0.48
